Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.0419164],[nan],[nan],[nan],[-0.00173893],[-0.00192044],[0.00138831],[0.04503171],[-0.08180846],[1.02007772],[32.99026476],[-106.97496059],[2.59468578],[2.15183361],[0.7346685],[-0.03766697],[0.],[0.],[0.],[0.4999995],[-0.5000005],[-0.49999985],[-0.50000015],[-0.00166515],[-0.00183896],[0.00132941],[-0.00166515],[-0.00183896],[0.00132941],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.15183361],[0.7346685],[-0.03766697],[0.],[0.],[0.],[0.49999678],[-0.50000654],[-0.49999841],[-0.49999827],[-0.00166515],[-0.00183896],[0.00132941],[-0.00166515],[-0.00183896],[0.00132941],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.16340118],[9.75824636],[-0.00115919],[0.00069983],[-0.00058521],[0.00027911],[0.00054935],[-0.00760553],[-0.00352909],[0.99040086],[nan],[nan],[nan],[2.15183358],[0.73466851],[-0.10076664],[-1.02918528e-05],[8.8637484e-06],[-0.06311851],[0.4999941],[-0.5000126],[-0.49999686],[-0.49999644],[-0.00076265],[-7.01873154e-05],[0.00067983],[-0.00076265],[-7.01873154e-05],[0.00067983],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.15183353],[0.73466856],[-0.10108223],[-1.54385901e-05],[1.32962481e-05],[-0.06336053],[0.49999391],[-0.50001449],[-0.49999514],[-0.49999646],[-0.00076265],[-7.01873154e-05],[0.00067983],[-0.00076265],[-7.01873154e-05],[0.00067983],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.03840668],[9.75665686],[-0.00025469],[0.00012209],[-0.00013616],[0.00037968],[0.00137668],[0.03155061],[0.01295358],[1.03995361],[nan],[nan],[nan],[2.15183346],[0.73466864],[-0.05346449],[-1.80813094e-05],[1.62478548e-05],[0.07357294],[0.49999341],[-0.50001627],[-0.49999401],[-0.49999631],[-0.00024098],[0.00030471],[0.00125998],[-0.00024098],[0.00030471],[0.00125998],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.15183337],[0.73466872],[-0.05309662],[-1.84003035e-05],[1.78257253e-05],[0.07332302],[0.49999506],[-0.50001776],[-0.49999175],[-0.49999542],[-0.00024098],[0.00030471],[0.00125998],[-0.00024098],[0.00030471],[0.00125998],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.15183327],[0.73466881],[-0.05273001],[-1.87192976e-05],[1.94035957e-05],[0.07307311],[0.49999672],[-0.50001926],[-0.4999895],[-0.49999453],[-0.00024098],[0.00030471],[0.00125998],[-0.00024098],[0.00030471],[0.00125998],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.05586997],[9.75773227],[-0.00101354],[0.00043712],[-0.0006151],[-0.00042388],[-6.26186262e-05],[-0.00841336],[-0.03985033],[0.97914016],[nan],[nan],[nan],[2.15183317],[0.73466894],[-0.02175313],[-2.19458195e-05],[2.23852231e-05],[0.26314223],[0.49999869],[-0.50002117],[-0.49998609],[-0.49999405],[-0.00056926],[-0.00033349],[0.00010244],[-0.00056926],[-0.00033349],[0.00010244],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.15183306],[0.73466905],[-0.02043742],[-2.51389218e-05],[2.53520582e-05],[0.26289762],[0.49999769],[-0.50002242],[-0.49998567],[-0.49999421],[-0.00056926],[-0.00033349],[0.00010244],[-0.00056926],[-0.00033349],[0.00010244],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.15183294],[0.73466917],[-0.01912293],[-2.8332024e-05],[2.83188934e-05],[0.26265301],[0.49999669],[-0.50002368],[-0.49998525],[-0.49999438],[-0.00056926],[-0.00033349],[0.00010244],[-0.00056926],[-0.00033349],[0.00010244],[3500.],[3500.],[3500.],0.0,0.0,0.0
