Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.15165565],[nan],[nan],[nan],[0.00029107],[-0.00016509],[0.00067524],[0.08813356],[-0.0856337],[1.02878073],[32.99026089],[-106.97504476],[-0.10948942],[-2.68954741],[0.47006119],[0.15108763],[0.],[0.],[0.],[0.49999932],[-0.50000068],[-0.50000001],[-0.49999999],[0.00027872],[-0.00015809],[0.00064659],[0.00027872],[-0.00015809],[0.00064659],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-2.68954741],[0.47006119],[0.15108763],[0.],[0.],[0.],[0.50000028],[-0.50000134],[-0.49999975],[-0.49999864],[0.00027872],[-0.00015809],[0.00064659],[0.00027872],[-0.00015809],[0.00064659],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.09017918],[9.75553247],[-6.93429441e-05],[0.0001838],[-0.00094602],[-0.00119146],[-0.00033456],[0.09111609],[0.04998331],[1.03122925],[nan],[nan],[nan],[-2.68954741],[0.47006119],[0.1205204],[-7.31393138e-08],[2.0951272e-06],[-0.03085231],[0.5000008],[-0.50000175],[-0.50000083],[-0.49999662],[-0.00074507],[-0.00102219],[-0.00017393],[-0.00074507],[-0.00102219],[-0.00017393],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-2.68954741],[0.4700612],[0.12036614],[-1.09733416e-07],[3.14282896e-06],[-0.03110789],[0.49999838],[-0.50000374],[-0.50000139],[-0.49999649],[-0.00074507],[-0.00102219],[-0.00017393],[-0.00074507],[-0.00102219],[-0.00017393],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.09467093],[9.75634232],[-0.00026846],[0.00015222],[-0.00018031],[0.00080081],[-0.00016888],[0.08547403],[-0.04688431],[1.11209942],[nan],[nan],[nan],[-2.68954741],[0.47006122],[0.11145393],[-7.52323972e-07],[4.42234669e-06],[-0.05642129],[0.4999955],[-0.50000583],[-0.50000261],[-0.49999606],[-0.00027433],[0.00049416],[-0.00016831],[-0.00027433],[0.00049416],[-0.00016831],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-2.68954741],[0.47006124],[0.11117183],[-1.93797969e-06],[5.92894018e-06],[-0.05667284],[0.49999557],[-0.50000534],[-0.50000186],[-0.49999723],[-0.00027433],[0.00049416],[-0.00016831],[-0.00027433],[0.00049416],[-0.00016831],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-2.68954742],[0.47006127],[0.11088846],[-3.12363542e-06],[7.43553366e-06],[-0.05692439],[0.49999563],[-0.50000486],[-0.50000111],[-0.4999984],[-0.00027433],[0.00049416],[-0.00016831],[-0.00027433],[0.00049416],[-0.00016831],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.08267122],[9.75603429],[0.00121859],[-0.00057729],[-0.00028696],[-0.00113658],[1.74198305e-05],[0.00965584],[-0.02101298],[0.91128368],[nan],[nan],[nan],[-2.68954742],[0.47006129],[0.10270378],[3.01889497e-06],[4.98809596e-06],[-0.10629263],[0.49999557],[-0.50000456],[-0.50000008],[-0.4999998],[-0.00028609],[-0.00093231],[-6.6400036e-06],[-0.00028609],[-0.00093231],[-6.6400036e-06],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-2.68954741],[0.47006132],[0.10217232],[9.08251396e-06],[2.58080015e-06],[-0.10654569],[0.49999403],[-0.50000607],[-0.50000089],[-0.499999],[-0.00028609],[-0.00093231],[-6.6400036e-06],[-0.00028609],[-0.00093231],[-6.6400036e-06],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-2.68954736],[0.47006133],[0.10163959],[1.51461329e-05],[1.7350435e-07],[-0.10679876],[0.4999925],[-0.50000759],[-0.50000171],[-0.4999982],[-0.00028609],[-0.00093231],[-6.6400036e-06],[-0.00028609],[-0.00093231],[-6.6400036e-06],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.11536365],[9.75706056],[0.00021144],[-0.0010949],[0.00039178],[0.00205836],[0.00021837],[-0.01587892],[0.02691767],[1.02310112],[nan],[nan],[nan],[-2.6895473],[0.47006133],[0.10485402],[1.61750954e-05],[-4.18933951e-06],[-0.07379181],[0.49999098],[-0.50000896],[-0.50000295],[-0.49999711],[0.00030892],[0.00168635],[0.00019212],[0.00030892],[0.00168635],[0.00019212],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-2.68954722],[0.47006131],[0.10448506],[1.72664112e-05],[-8.52036579e-06],[-0.07403979],[0.49999371],[-0.50000671],[-0.50000099],[-0.49999859],[0.00030892],[0.00168635],[0.00019212],[0.00030892],[0.00168635],[0.00019212],[3500.],[3500.],[3500.],0.0,0.0,0.0
