Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.16061476],[nan],[nan],[nan],[0.00061472],[-0.0003601],[4.8284845e-05],[-0.02963483],[0.06225977],[1.07547315],[32.99023991],[-106.97497654],[0.02415676],[1.23405014],[-0.9612967],[-0.16015969],[0.],[0.],[0.],[0.50000034],[-0.49999966],[-0.50000012],[-0.49999988],[0.00058864],[-0.00034482],[4.62362115e-05],[0.00058864],[-0.00034482],[4.62362115e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.23405014],[-0.9612967],[-0.16015969],[0.],[0.],[0.],[0.50000071],[-0.49999941],[-0.50000123],[-0.49999865],[0.00058864],[-0.00034482],[4.62362115e-05],[0.00058864],[-0.00034482],[4.62362115e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.13195817],[9.75684094],[0.00092458],[-0.00164367],[-0.00049008],[0.0004965],[0.00068426],[-0.07282108],[-0.06955454],[1.01340929],[nan],[nan],[nan],[1.23405016],[-0.96129674],[-0.14600752],[9.28919906e-06],[-1.6107064e-05],[0.01355133],[0.5000014],[-0.49999948],[-0.50000103],[-0.49999809],[-0.00031127],[0.00035745],[0.00057886],[-0.00031127],[0.00035745],[0.00057886],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.23405021],[-0.96129682],[-0.14593977],[1.3934504e-05],[-2.41617951e-05],[0.01330228],[0.50000218],[-0.50000014],[-0.49999947],[-0.4999982],[-0.00031127],[0.00035745],[0.00057886],[-0.00031127],[0.00035745],[0.00057886],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.06088184],[9.75600606],[0.00070618],[-0.00041314],[-0.00059969],[-0.00111579],[-0.00133194],[-0.04035027],[0.01423051],[1.10296342],[nan],[nan],[nan],[1.23405028],[-0.96129691],[-0.07498408],[1.82008854e-05],[-2.91751707e-05],[0.21592244],[0.50000332],[-0.50000066],[-0.49999744],[-0.49999858],[-0.00055314],[-0.00086901],[-0.00101121],[-0.00055314],[-0.00086901],[-0.00101121],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.23405037],[-0.96129706],[-0.07390447],[2.21095819e-05],[-3.1402468e-05],[0.21566925],[0.50000027],[-0.50000118],[-0.4999991],[-0.49999945],[-0.00055314],[-0.00086901],[-0.00101121],[-0.00055314],[-0.00086901],[-0.00101121],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.23405048],[-0.96129721],[-0.07282612],[2.60182783e-05],[-3.36297653e-05],[0.21541605],[0.49999723],[-0.50000169],[-0.50000076],[-0.50000032],[-0.00055314],[-0.00086901],[-0.00101121],[-0.00055314],[-0.00086901],[-0.00101121],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.00757287],[9.75593865],[-8.57655905e-05],[-0.00083463],[0.00060683],[0.00061476],[0.00056286],[0.0232407],[0.02886079],[1.03492989],[nan],[nan],[nan],[1.2340506],[-0.96129737],[-0.04931479],[2.52049182e-05],[-3.73733963e-05],[0.3546377],[0.49999387],[-0.50000189],[-0.50000366],[-0.50000058],[0.00046309],[0.00043031],[0.00036707],[0.00046309],[0.00043031],[0.00036707],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.23405073],[-0.96129756],[-0.0475416],[2.44462975e-05],[-4.10940723e-05],[0.35438415],[0.49999545],[-0.50000123],[-0.50000324],[-0.50000008],[0.00046309],[0.00043031],[0.00036707],[0.00046309],[0.00043031],[0.00036707],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.23405085],[-0.96129776],[-0.04576968],[2.36876768e-05],[-4.48147482e-05],[0.35413059],[0.49999702],[-0.50000057],[-0.50000282],[-0.49999959],[0.00046309],[0.00043031],[0.00036707],[0.00046309],[0.00043031],[0.00036707],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.11480928],[9.75752769],[-0.00123672],[-0.00195532],[0.00011383],[0.00030705],[9.9898704e-05],[-0.00366298],[-0.05402876],[0.9740192],[nan],[nan],[nan],[1.23405096],[-0.96129795],[-0.00224858],[1.72977439e-05],[-5.44113604e-05],[0.72428267],[0.49999903],[-0.5000008],[-0.50000057],[-0.49999961],[0.00015713],[0.0003221],[0.00013294],[0.00015713],[0.0003221],[0.00013294],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.23405104],[-0.96129822],[0.00137283],[1.09874371e-05],[-6.39258239e-05],[0.72403703],[0.49999979],[-0.50000036],[-0.50000019],[-0.49999965],[0.00015713],[0.0003221],[0.00013294],[0.00015713],[0.0003221],[0.00013294],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.06,0.0,0.0,3.66493339001693e-06,0.0,0.0,0.004237256157134099,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.2340511],[-0.96129854],[0.00499302],[4.67713028e-06],[-7.34402873e-05],[0.72379139],[0.50000056],[-0.49999993],[-0.49999982],[-0.49999969],[0.00015713],[0.0003221],[0.00013294],[0.00015713],[0.0003221],[0.00013294],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.065,0.0,0.0,0.00010953431198894576,0.0,0.0,0.0457737416478075,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.08939603],[12.807384],[-0.00112939],[6.00748128e-05],[0.00033173],[-0.00079916],[-6.7335506e-05],[0.03825394],[0.0371056],[1.03382099],[nan],[nan],[nan],[1.23405123],[-0.96129897],[0.02967808],[5.33885743e-06],[-7.93810748e-05],[0.95556265],[0.49985057],[-0.49995659],[-0.50023528],[-0.49995747],[0.00030935],[-0.00065955],[-4.2852848e-05],[0.00030935],[-0.00065955],[-4.2852848e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.07,0.0,0.0,0.0005352417218759621,0.0,0.0,0.13194948838401183,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.23405126],[-0.96129936],[0.03445589],[-2.32551072e-06],[-7.71498335e-05],[0.97049555],[0.49985008],[-0.49995698],[-0.50023654],[-0.49995632],[0.00030935],[-0.00065955],[-4.2852848e-05],[0.00030935],[-0.00065955],[-4.2852848e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.075,0.0,0.0,0.0015034427051307108,0.0,0.0,0.2627732534326467,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.23405124],[-0.96129975],[0.03930837],[-9.98987886e-06],[-7.49185921e-05],[0.98542845],[0.49984959],[-0.49995736],[-0.50023781],[-0.49995516],[0.00030935],[-0.00065955],[-4.2852848e-05],[0.00030935],[-0.00065955],[-4.2852848e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.08,0.0,0.0,0.0032374067829657534,0.0,0.0,0.4382565256839024,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.07332369],[35.91916329],[0.00049469],[0.00106561],[0.00095845],[0.00010451],[-0.00030965],[0.02983247],[0.0882461],[1.00506596],[nan],[nan],[nan],[1.23405168],[-0.96130063],[0.01338404],[-3.46702361e-05],[-4.09873174e-05],[0.78488012],[0.49764134],[-0.50006605],[-0.5022191],[-0.50006302],[0.00087786],[9.5495932e-06],[-0.00027575],[0.00087786],[9.5495932e-06],[-0.00027575],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.085,0.0,0.0,0.005960467215048675,0.0,0.0,0.6584142923651234,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.23405151],[-0.96130083],[0.01730844],[-0.00010679],[4.02109862e-05],[0.91489164],[0.4976421],[-0.5000646],[-0.50222053],[-0.50006227],[0.00087786],[9.5495932e-06],[-0.00027575],[0.00087786],[9.5495932e-06],[-0.00027575],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.09,0.0,0.0,0.009896034454497035,0.0,0.0,0.9232627972038383,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.23405098],[-0.96130063],[0.02188289],[-0.0001789],[0.00012141],[1.04490316],[0.49764287],[-0.50006315],[-0.50222196],[-0.50006153],[0.00087786],[9.5495932e-06],[-0.00027575],[0.00087786],[9.5495932e-06],[-0.00027575],[3500.],[3500.],[3500.],0.0,0.0,0.0
