Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.05666644],[nan],[nan],[nan],[0.00014807],[-0.0004118],[-0.00040436],[0.0420713],[-0.07118732],[1.05777053],[32.99021561],[-106.97500938],[-1.21364752],[-0.6547418],[-2.62034267],[-0.05845629],[0.],[0.],[0.],[0.49999957],[-0.50000043],[-0.49999989],[-0.50000011],[0.00014179],[-0.00039433],[-0.0003872],[0.00014179],[-0.00039433],[-0.0003872],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.6547418],[-2.62034267],[-0.05845629],[0.],[0.],[0.],[0.49999877],[-0.50000026],[-0.50000104],[-0.49999992],[0.00014179],[-0.00039433],[-0.0003872],[0.00014179],[-0.00039433],[-0.0003872],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.01899637],[9.75660296],[8.41151488e-05],[-0.00205242],[-0.00059902],[0.00143465],[0.00107009],[-0.07178563],[0.00751233],[0.97525363],[nan],[nan],[nan],[-0.6547418],[-2.62034272],[-0.03865416],[4.81760009e-07],[-2.0057747e-05],[0.01915737],[0.49999831],[-0.50000005],[-0.50000159],[-0.50000005],[-0.00047496],[0.00113328],[0.00083026],[-0.00047496],[0.00113328],[0.00083026],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.6547418],[-2.62034282],[-0.03855837],[7.22688424e-07],[-3.00881123e-05],[0.01890712],[0.50000018],[-0.50000027],[-0.49999854],[-0.50000102],[-0.00047496],[0.00113328],[0.00083026],[-0.00047496],[0.00113328],[0.00083026],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.04571328],[9.7555884],[0.00028808],[-0.00016969],[-0.00124692],[-0.00102118],[0.00066086],[0.01877112],[0.00028122],[0.98789219],[nan],[nan],[nan],[-0.65474179],[-2.62034297],[-0.04094942],[1.71152807e-06],[-3.55665572e-05],[0.01154098],[0.50000206],[-0.50000019],[-0.49999566],[-0.50000209],[-0.00111831],[-0.00065894],[0.00068765],[-0.00111831],[-0.00065894],[0.00068765],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.65474178],[-2.62034315],[-0.04089171],[3.38447602e-06],[-3.68706306e-05],[0.01128571],[0.5000007],[-0.50000327],[-0.49999423],[-0.5000018],[-0.00111831],[-0.00065894],[0.00068765],[-0.00111831],[-0.00065894],[0.00068765],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.65474177],[-2.62034333],[-0.04083528],[5.05742398e-06],[-3.81747041e-05],[0.01103044],[0.49999934],[-0.50000635],[-0.49999279],[-0.50000152],[-0.00111831],[-0.00065894],[0.00068765],[-0.00111831],[-0.00065894],[0.00068765],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.05500345],[9.75504759],[-3.3671601e-05],[-0.00111332],[-0.00137633],[-2.99396535e-05],[0.00051389],[0.06362944],[-0.01935873],[0.99033096],[nan],[nan],[nan],[-0.65474174],[-2.62034353],[-0.04480285],[5.5859759e-06],[-4.37007183e-05],[-0.01423705],[0.49999739],[-0.5000094],[-0.49999248],[-0.50000073],[-0.0013438],[-0.00010891],[0.00053583],[-0.0013438],[-0.00010891],[0.00053583],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.65474172],[-2.62034375],[-0.04487404],[6.13577923e-06],[-4.91769094e-05],[-0.01449504],[0.49999624],[-0.50001188],[-0.49999027],[-0.5000016],[-0.0013438],[-0.00010891],[0.00053583],[-0.0013438],[-0.00010891],[0.00053583],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.65474168],[-2.620344],[-0.04494651],[6.68558257e-06],[-5.46531006e-05],[-0.01475303],[0.4999951],[-0.50001437],[-0.49998806],[-0.50000248],[-0.0013438],[-0.00010891],[0.00053583],[-0.0013438],[-0.00010891],[0.00053583],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.08548787],[9.75660145],[-0.00055976],[0.00022838],[0.00064436],[0.00018807],[0.00072852],[0.0313039],[0.00341748],[0.98373029],[nan],[nan],[nan],[-0.65474166],[-2.62034422],[-0.0107099],[4.91804597e-06],[-5.3198976e-05],[0.28938837],[0.4999936],[-0.50001641],[-0.4999871],[-0.5000029],[0.000397],[0.00015214],[0.00070563],[0.000397],[0.00015214],[0.00070563],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.65474163],[-2.62034448],[-0.00926295],[3.17793045e-06],[-5.18275774e-05],[0.28913809],[0.49999516],[-0.5000166],[-0.49998652],[-0.50000171],[0.000397],[0.00015214],[0.00070563],[0.000397],[0.00015214],[0.00070563],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.06,0.0,0.0,3.66493339001693e-06,0.0,0.0,0.004237256157134099,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.65474161],[-2.62034474],[-0.00781726],[1.43781493e-06],[-5.04561787e-05],[0.28888782],[0.49999673],[-0.5000168],[-0.49998595],[-0.50000052],[0.000397],[0.00015214],[0.00070563],[0.000397],[0.00015214],[0.00070563],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.065,0.0,0.0,0.00010953431198894576,0.0,0.0,0.0457737416478075,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.03941135],[12.80949586],[-8.77197781e-05],[0.00107339],[-0.00054115],[-0.00021961],[0.00033666],[-0.04433619],[0.01867801],[1.07426815],[nan],[nan],[nan],[-0.6547415],[-2.6203451],[-0.01495952],[9.19770738e-06],[-5.09385629e-05],[0.21534094],[0.49984861],[-0.49997552],[-0.50021742],[-0.49995837],[-0.00042468],[-0.00017394],[0.00038197],[-0.00042468],[-0.00017394],[0.00038197],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.07,0.0,0.0,0.0005352417218759621,0.0,0.0,0.13194948838401183,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.65474145],[-2.62034536],[-0.01388282],[8.58983697e-06],[-4.31664811e-05],[0.23028432],[0.49984834],[-0.49997675],[-0.50021663],[-0.4999582],[-0.00042468],[-0.00017394],[0.00038197],[-0.00042468],[-0.00017394],[0.00038197],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.075,0.0,0.0,0.0015034427051307108,0.0,0.0,0.2627732534326467,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.65474141],[-2.62034558],[-0.01273139],[7.98196655e-06],[-3.53943992e-05],[0.2452277],[0.49984807],[-0.49997798],[-0.50021584],[-0.49995804],[-0.00042468],[-0.00017394],[0.00038197],[-0.00042468],[-0.00017394],[0.00038197],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.08,0.0,0.0,0.0032374067829657534,0.0,0.0,0.4382565256839024,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.01838413],[35.92269768],[0.00098114],[-0.00136782],[-0.00033577],[0.00030931],[-0.00035853],[-0.05592629],[0.01817697],[1.00142809],[nan],[nan],[nan],[-0.65474087],[-2.62034625],[-0.01316491],[-7.02680629e-06],[-1.47139384e-05],[0.35693735],[0.49764325],[-0.50009154],[-0.50218605],[-0.50006881],[-0.00034696],[0.00024882],[-0.00026604],[-0.00034696],[0.00024882],[-0.00026604],[3500.],[3500.],[3500.],0.0,0.0,0.0
