Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.07719437],[nan],[nan],[nan],[-0.00042299],[-0.00135147],[2.91124611e-06],[-0.11166519],[0.00743506],[1.00524103],[32.99025846],[-106.97502143],[1.29347716],[-1.34752579],[0.30470051],[-0.07492999],[0.],[0.],[0.],[0.50000048],[-0.49999952],[-0.49999958],[-0.50000042],[-0.00040504],[-0.00129413],[2.78772751e-06],[-0.00040504],[-0.00129413],[2.78772751e-06],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.34752579],[0.30470051],[-0.07492999],[0.],[0.],[0.],[0.49999836],[-0.50000165],[-0.50000069],[-0.4999993],[-0.00040504],[-0.00129413],[2.78772751e-06],[-0.00040504],[-0.00129413],[2.78772751e-06],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.15133432],[9.7567325],[-0.00055202],[-0.00017584],[0.00153198],[0.00109799],[0.00017421],[0.11369491],[0.0553639],[0.98236227],[nan],[nan],[nan],[-1.3475258],[0.30470052],[0.03861897],[-5.53264267e-06],[-7.08140087e-07],[0.11221626],[0.49999566],[-0.50000349],[-0.5000035],[-0.49999735],[0.00121382],[0.00070449],[0.00014834],[0.00121382],[0.00070449],[0.00014834],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.34752583],[0.30470052],[0.03918005],[-8.29930845e-06],[-1.06219281e-06],[0.11196668],[0.49999824],[-0.50000128],[-0.50000395],[-0.49999652],[0.00121382],[0.00070449],[0.00014834],[0.00121382],[0.00070449],[0.00014834],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.09757429],[9.75614894],[0.00087552],[-0.00016205],[-3.30616495e-05],[-0.00132906],[-0.00075841],[-0.04280046],[0.00508629],[1.04227435],[nan],[nan],[nan],[-1.34752587],[0.30470052],[0.0595693],[-7.36818638e-06],[-1.46451597e-06],[0.16846362],[0.50000099],[-0.49999901],[-0.50000384],[-0.49999616],[0.00017516],[-0.0009879],[-0.00060767],[0.00017516],[-0.0009879],[-0.00060767],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.34752591],[0.30470051],[0.06041162],[-3.04184048e-06],[-1.93439788e-06],[0.16821112],[0.49999922],[-0.49999926],[-0.50000606],[-0.49999547],[0.00017516],[-0.0009879],[-0.00060767],[0.00017516],[-0.0009879],[-0.00060767],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.34752592],[0.3047005],[0.06125268],[1.28450543e-06],[-2.4042798e-06],[0.16795863],[0.49999744],[-0.49999952],[-0.50000827],[-0.49999477],[0.00017516],[-0.0009879],[-0.00060767],[0.00017516],[-0.0009879],[-0.00060767],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.1285058],[9.7567648],[-0.00040747],[0.00163487],[0.00049462],[0.00016873],[0.00108694],[0.01072636],[0.00168503],[0.94207398],[nan],[nan],[nan],[-1.34752593],[0.30470052],[0.08087585],[-1.24417732e-06],[6.83197119e-06],[0.2844867],[0.49999574],[-0.49999957],[-0.50001079],[-0.4999939],[0.00045602],[2.48964096e-05],[0.00087548],[0.00045602],[2.48964096e-05],[0.00087548],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.34752594],[0.30470056],[0.08229829],[-3.69903936e-06],[1.59636981e-05],[0.28423726],[0.49999744],[-0.50000007],[-0.50001023],[-0.49999226],[0.00045602],[2.48964096e-05],[0.00087548],[0.00045602],[2.48964096e-05],[0.00087548],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.34752595],[0.30470064],[0.08371947],[-6.1539014e-06],[2.5095425e-05],[0.28398783],[0.49999913],[-0.50000056],[-0.50000968],[-0.49999063],[0.00045602],[2.48964096e-05],[0.00087548],[0.00045602],[2.48964096e-05],[0.00087548],[3500.],[3500.],[3500.],0.0,0.0,0.0
