Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.06268532],[nan],[nan],[nan],[-0.00028059],[-0.00065338],[-0.00088024],[0.03511675],[-0.06710967],[0.98948196],[32.99024488],[-106.97499057],[3.0079848],[0.42746329],[-0.62245276],[-0.05772247],[0.],[0.],[0.],[0.49999958],[-0.50000042],[-0.49999987],[-0.50000013],[-0.00026869],[-0.00062566],[-0.00084289],[-0.00026869],[-0.00062566],[-0.00084289],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.42746329],[-0.62245276],[-0.05772247],[0.],[0.],[0.],[0.49999741],[-0.50000048],[-0.50000137],[-0.50000074],[-0.00026869],[-0.00062566],[-0.00084289],[-0.00026869],[-0.00062566],[-0.00084289],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.01712284],[9.75702951],[-0.00164302],[-0.00135179],[-0.00017654],[-0.00103242],[-0.00023221],[0.03142246],[-0.04935898],[1.0179968],[nan],[nan],[nan],[0.42746325],[-0.62245279],[-0.02016235],[-1.72691748e-05],[-1.28451663e-05],[0.03678908],[0.49999509],[-0.50000078],[-0.50000271],[-0.50000143],[-0.00019163],[-0.00096492],[-0.00033314],[-0.00019163],[-0.00096492],[-0.00033314],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.42746316],[-0.62245285],[-0.01997841],[-2.59050338e-05],[-1.92686894e-05],[0.03654099],[0.49999322],[-0.5000018],[-0.5000041],[-0.50000088],[-0.00019163],[-0.00096492],[-0.00033314],[-0.00019163],[-0.00096492],[-0.00033314],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.01716761],[9.75669599],[0.00225348],[-2.47399217e-05],[-0.00034804],[9.5565186e-05],[-0.00051487],[0.01598815],[-0.07578609],[0.94620531],[nan],[nan],[nan],[0.42746304],[-0.62245295],[-0.01889462],[-2.45412014e-05],[-2.19855773e-05],[0.03887077],[0.49999121],[-0.50000278],[-0.50000459],[-0.50000143],[-0.00032118],[-8.32175843e-05],[-0.00048373],[-0.00032118],[-8.32175843e-05],[-0.00048373],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.42746291],[-0.62245306],[-0.01870027],[-1.39814256e-05],[-2.13445191e-05],[0.03862102],[0.4999901],[-0.50000268],[-0.5000049],[-0.50000233],[-0.00032118],[-8.32175843e-05],[-0.00048373],[-0.00032118],[-8.32175843e-05],[-0.00048373],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.42746285],[-0.62245316],[-0.01850716],[-3.42164987e-06],[-2.07034608e-05],[0.03837127],[0.49998899],[-0.50000258],[-0.5000052],[-0.50000323],[-0.00032118],[-8.32175843e-05],[-0.00048373],[-0.00032118],[-8.32175843e-05],[-0.00048373],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.01077856],[9.75660872],[0.00036358],[0.00133819],[0.00054433],[-0.00021744],[0.001196],[-0.0143683],[-0.0360747],[0.9262704],[nan],[nan],[nan],[0.42746281],[-0.62245325],[-0.01008682],[-2.61478014e-06],[-1.31779836e-05],[0.08927809],[0.49998842],[-0.5000029],[-0.50000414],[-0.50000455],[0.00043671],[-0.00019938],[0.00098604],[0.00043671],[-0.00019938],[0.00098604],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.4274628],[-0.62245331],[-0.00964043],[-1.69807663e-06],[-5.73012809e-06],[0.08902789],[0.49998995],[-0.50000383],[-0.5000037],[-0.50000252],[0.00043671],[-0.00019938],[0.00098604],[0.00043671],[-0.00019938],[0.00098604],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.42746279],[-0.62245334],[-0.00919529],[-7.81373117e-07],[1.71772745e-06],[0.08877769],[0.49999147],[-0.50000477],[-0.50000326],[-0.50000049],[0.00043671],[-0.00019938],[0.00098604],[0.00043671],[-0.00019938],[0.00098604],[3500.],[3500.],[3500.],0.0,0.0,0.0
