Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.09428315],[nan],[nan],[nan],[-0.00031337],[0.00143472],[-0.00071232],[0.11855075],[0.00861482],[1.11311026],[32.99024223],[-106.97499602],[3.94756142],[0.11377163],[-0.80360337],[0.10033836],[0.],[0.],[0.],[0.4999996],[-0.5000004],[-0.50000046],[-0.49999954],[-0.00030007],[0.00137384],[-0.00068209],[-0.00030007],[0.00137384],[-0.00068209],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.11377163],[-0.80360337],[0.10033836],[0.],[0.],[0.],[0.50000009],[-0.4999982],[-0.49999922],[-0.50000249],[-0.00030007],[0.00137384],[-0.00068209],[-0.00030007],[0.00137384],[-0.00068209],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.1375463],[9.75557367],[0.00140311],[-0.00014792],[0.00081916],[-0.00169799],[-0.00063529],[-0.07433156],[0.00763053],[0.99774133],[nan],[nan],[nan],[0.11377166],[-0.80360338],[0.11901034],[1.33822393e-05],[-2.63584932e-06],[0.01802526],[0.50000093],[-0.49999596],[-0.49999736],[-0.50000575],[0.00063281],[-0.00119052],[-0.0006441],[0.00063281],[-0.00119052],[-0.0006441],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.11377173],[-0.80360339],[0.11910047],[2.0074374e-05],[-3.95396005e-06],[0.01776987],[0.49999943],[-0.49999585],[-0.50000044],[-0.50000427],[0.00063281],[-0.00119052],[-0.0006441],[0.00063281],[-0.00119052],[-0.0006441],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.09512395],[9.75563148],[0.00062698],[0.00122727],[0.00044104],[0.0005033],[-0.00018153],[-0.09239682],[-0.01924792],[0.92136335],[nan],[nan],[nan],[0.11377183],[-0.80360341],[0.11093814],[2.46222449e-05],[-1.43346396e-06],[-0.0060987],[0.49999881],[-0.49999593],[-0.50000166],[-0.5000036],[0.00047461],[0.00021823],[-0.00025853],[0.00047461],[0.00021823],[-0.00025853],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.11377195],[-0.80360342],[0.11090764],[2.71735672e-05],[4.59898587e-06],[-0.0063538],[0.49999935],[-0.49999474],[-0.5000023],[-0.5000036],[0.00047461],[0.00021823],[-0.00025853],[0.00047461],[0.00021823],[-0.00025853],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.11377209],[-0.80360339],[0.11087587],[2.97248896e-05],[1.06314357e-05],[-0.0066089],[0.4999999],[-0.49999355],[-0.50000294],[-0.50000361],[0.00047461],[0.00021823],[-0.00025853],[0.00047461],[0.00021823],[-0.00025853],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.06446495],[9.75787898],[0.00067324],[-0.0020941],[0.0006891],[-0.00100705],[-0.00096212],[0.03827163],[0.07677561],[0.97159485],[nan],[nan],[nan],[0.11377223],[-0.80360338],[0.097726],[3.23954993e-05],[-3.74536851e-07],[-0.08840099],[0.49999941],[-0.49999164],[-0.50000675],[-0.50000221],[0.0006613],[-0.00085387],[-0.00087452],[0.0006613],[-0.00085387],[-0.00087452],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.1137724],[-0.80360338],[0.09728399],[3.50642458e-05],[-1.11758198e-05],[-0.0886449],[0.49999808],[-0.49999078],[-0.50000973],[-0.50000141],[0.0006613],[-0.00085387],[-0.00087452],[0.0006613],[-0.00085387],[-0.00087452],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.11377257],[-0.80360344],[0.09684077],[3.77329923e-05],[-2.19771027e-05],[-0.08888882],[0.49999674],[-0.49998993],[-0.50001272],[-0.50000061],[0.0006613],[-0.00085387],[-0.00087452],[0.0006613],[-0.00085387],[-0.00087452],[3500.],[3500.],[3500.],0.0,0.0,0.0
