Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.13764077],[nan],[nan],[nan],[0.00139093],[0.0002138],[-0.00019674],[0.08050698],[-0.05840509],[1.10483144],[32.9902357],[-106.97499894],[0.67208358],[-0.05384511],[-1.24915786],[-0.13621129],[0.],[0.],[0.],[0.49999949],[-0.50000051],[-0.50000008],[-0.49999992],[0.00133191],[0.00020473],[-0.0001884],[0.00133191],[0.00020473],[-0.0001884],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.05384511],[-1.24915786],[-0.13621129],[0.],[0.],[0.],[0.50000118],[-0.49999835],[-0.50000172],[-0.49999875],[0.00133191],[0.00020473],[-0.0001884],[0.00133191],[0.00020473],[-0.0001884],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.20062614],[9.75587919],[-0.00114475],[-0.00030147],[0.00015043],[0.00067385],[-0.00075193],[-0.05432104],[-0.05658981],[1.09872209],[nan],[nan],[nan],[-0.05384514],[-1.24915787],[-0.16853819],[-1.16305241e-05],[-3.07529823e-06],[-0.03259559],[0.50000309],[-0.49999643],[-0.50000242],[-0.49999805],[0.00034531],[0.00059548],[-0.00065935],[0.00034531],[0.00059548],[-0.00065935],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.0538452],[-1.24915789],[-0.16870116],[-1.74466784e-05],[-4.613198e-06],[-0.03284945],[0.50000344],[-0.49999443],[-0.50000293],[-0.49999919],[0.00034531],[0.00059548],[-0.00065935],[0.00034531],[0.00059548],[-0.00065935],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.06103621],[9.75631565],[-0.00122125],[0.00125457],[0.00015862],[-0.0011715],[-0.00016237],[0.02337946],[0.04271607],[1.02582329],[nan],[nan],[nan],[-0.05384529],[-1.24915788],[-0.09004009],[-2.35949774e-05],[-2.32842496e-06],[0.19248094],[0.50000367],[-0.49999189],[-0.50000445],[-0.49999999],[0.00018931],[-0.00087376],[-0.00024722],[0.00018931],[-0.00087376],[-0.00024722],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.05384541],[-1.24915789],[-0.08907769],[-3.00657941e-05],[3.48678132e-06],[0.19222925],[0.50000251],[-0.49999244],[-0.50000609],[-0.49999897],[0.00018931],[-0.00087376],[-0.00024722],[0.00018931],[-0.00087376],[-0.00024722],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.05384556],[-1.24915788],[-0.08811654],[-3.65366108e-05],[9.3019876e-06],[0.19197756],[0.50000134],[-0.49999298],[-0.50000772],[-0.49999795],[0.00018931],[-0.00087376],[-0.00024722],[0.00018931],[-0.00087376],[-0.00024722],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.18966515],[9.75658509],[0.00019025],[-0.00074489],[-0.00073489],[-0.00099223],[-3.35413515e-05],[-0.06407643],[0.06008844],[0.96240963],[nan],[nan],[nan],[-0.05384573],[-1.24915778],[-0.0088644],[-3.61335373e-05],[5.79594835e-06],[0.67847519],[0.5000003],[-0.49999331],[-0.50000942],[-0.49999697],[-0.00061912],[-0.00097775],[-6.08067354e-05],[-0.00061912],[-0.00097775],[-6.08067354e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.05384591],[-1.24915776],[-0.00547202],[-3.58106146e-05],[2.39550359e-06],[0.67822484],[0.49999822],[-0.49999523],[-0.50000994],[-0.4999966],[-0.00061912],[-0.00097775],[-6.08067354e-05],[-0.00061912],[-0.00097775],[-6.08067354e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.05384609],[-1.24915774],[-0.0020809],[-3.54876919e-05],[-1.00494117e-06],[0.67797449],[0.49999615],[-0.49999715],[-0.50001047],[-0.49999623],[-0.00061912],[-0.00097775],[-6.08067354e-05],[-0.00061912],[-0.00097775],[-6.08067354e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
