Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.15265172],[nan],[nan],[nan],[0.00111582],[-0.00088464],[-0.0011367],[-0.03320866],[0.00963083],[0.93085428],[32.99025855],[-106.97496645],[2.87734415],[1.81460552],[0.31047291],[0.15684767],[0.],[0.],[0.],[0.50000019],[-0.49999981],[-0.4999999],[-0.5000001],[0.00106847],[-0.0008471],[-0.00108847],[0.00106847],[-0.0008471],[-0.00108847],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.81460552],[0.31047291],[0.15684767],[0.],[0.],[0.],[0.4999991],[-0.49999818],[-0.50000365],[-0.49999907],[0.00106847],[-0.0008471],[-0.00108847],[0.00106847],[-0.0008471],[-0.00108847],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.18667095],[9.75576005],[0.00022636],[-0.00134006],[-0.00013145],[0.00059304],[5.44993683e-05],[0.00819858],[0.03514998],[1.14416937],[nan],[nan],[nan],[1.81460552],[0.31047288],[0.1718137],[1.20707871e-06],[-1.26373156e-05],[0.01434843],[0.49999798],[-0.49999639],[-0.50000778],[-0.49999785],[6.79668945e-05],[0.0003554],[-0.00013395],[6.79668945e-05],[0.0003554],[-0.00013395],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.81460553],[0.31047282],[0.17188544],[1.81071787e-06],[-1.89569118e-05],[0.01409398],[0.49999834],[-0.49999569],[-0.50000758],[-0.49999838],[6.79668945e-05],[0.0003554],[-0.00013395],[6.79668945e-05],[0.0003554],[-0.00013395],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.11115886],[9.75741808],[-0.00058578],[-9.76776907e-05],[0.00078951],[-4.50897995e-05],[0.00032196],[0.05488802],[-0.02466321],[1.06087618],[nan],[nan],[nan],[1.81460554],[0.31047272],[0.1511107],[2.66545975e-07],[-2.21497171e-05],[-0.0458112],[0.49999851],[-0.4999949],[-0.50000794],[-0.49999866],[0.00066804],[2.30520676e-05],[0.00024538],[0.00066804],[2.30520676e-05],[0.00024538],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.81460554],[0.31047261],[0.15088165],[-3.26259498e-06],[-2.24442148e-05],[-0.0460574],[0.49999968],[-0.49999434],[-0.50000844],[-0.49999754],[0.00066804],[2.30520676e-05],[0.00024538],[0.00066804],[2.30520676e-05],[0.00024538],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.81460552],[0.3104725],[0.15065136],[-6.79173594e-06],[-2.27387125e-05],[-0.0463036],[0.50000085],[-0.49999379],[-0.50000894],[-0.49999643],[0.00066804],[2.30520676e-05],[0.00024538],[0.00066804],[2.30520676e-05],[0.00024538],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.01209881],[9.75719862],[-0.00134895],[0.00060753],[0.00016042],[0.00266042],[-0.00116569],[0.02765525],[0.05487057],[0.99724438],[nan],[nan],[nan],[1.81460548],[0.31047235],[0.10445543],[-1.40186613e-05],[-1.94307325e-05],[-0.33231458],[0.50000156],[-0.49999251],[-0.50001147],[-0.49999446],[0.00022458],[0.00232926],[-0.00098797],[0.00022458],[0.00232926],[-0.00098797],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.81460541],[0.31047226],[0.10279385],[-2.12079093e-05],[-1.61588328e-05],[-0.33256184],[0.50000352],[-0.49998809],[-0.50001007],[-0.49999833],[0.00022458],[0.00232926],[-0.00098797],[0.00022458],[0.00232926],[-0.00098797],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.8146053],[0.31047217],[0.10113104],[-2.83971572e-05],[-1.2886933e-05],[-0.33280909],[0.50000547],[-0.49998366],[-0.50000868],[-0.50000219],[0.00022458],[0.00232926],[-0.00098797],[0.00022458],[0.00232926],[-0.00098797],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.03730456],[9.754812],[-0.00098054],[0.00022149],[-0.00055706],[-0.00015158],[0.00043007],[0.07534456],[-0.03138017],[1.05411314],[nan],[nan],[nan],[1.81460516],[0.31047206],[0.06350997],[-3.4616016e-05],[-1.31277809e-05],[-0.65206842],[0.50000671],[-0.49997913],[-0.50000864],[-0.50000552],[-0.00046024],[0.00015768],[0.0002519],[-0.00046024],[0.00015768],[0.0002519],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.81460499],[0.310472],[0.06024963],[-4.08343774e-05],[-1.33273323e-05],[-0.65232754],[0.50000665],[-0.49997983],[-0.50000755],[-0.50000598],[-0.00046024],[0.00015768],[0.0002519],[-0.00046024],[0.00015768],[0.0002519],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.06,0.0,0.0,3.66493339001693e-06,0.0,0.0,0.004237256157134099,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.81460479],[0.31047193],[0.05698799],[-4.70527388e-05],[-1.35268837e-05],[-0.65258666],[0.50000658],[-0.49998052],[-0.50000646],[-0.50000644],[-0.00046024],[0.00015768],[0.0002519],[-0.00046024],[0.00015768],[0.0002519],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.065,0.0,0.0,0.00010953431198894576,0.0,0.0,0.0457737416478075,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.1497148],[12.80673533],[0.00115249],[0.00116357],[-1.09160418e-05],[0.00100342],[0.00085305],[-0.06936587],[-0.01247136],[1.05496569],[nan],[nan],[nan],[1.81460468],[0.3104717],[0.00074576],[-3.65552695e-05],[-1.55589686e-05],[-1.1832485],[0.49985749],[-0.49994018],[-0.50023531],[-0.49996693],[-6.6169202e-05],[0.00089861],[0.00077882],[-6.6169202e-05],[0.00089861],[0.00077882],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.07,0.0,0.0,0.0005352417218759621,0.0,0.0,0.13194948838401183,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.81460449],[0.31047162],[-0.00517048],[-3.4526828e-05],[-9.35270099e-06],[-1.1683189],[0.4998595],[-0.49994012],[-0.50023313],[-0.49996717],[-6.6169202e-05],[0.00089861],[0.00077882],[-6.6169202e-05],[0.00089861],[0.00077882],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.075,0.0,0.0,0.0015034427051307108,0.0,0.0,0.2627732534326467,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.81460432],[0.31047157],[-0.01101208],[-3.24983865e-05],[-3.14643335e-06],[-1.1533893],[0.49986152],[-0.49994005],[-0.50023095],[-0.4999674],[-6.6169202e-05],[0.00089861],[0.00077882],[-6.6169202e-05],[0.00089861],[0.00077882],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.08,0.0,0.0,0.0032374067829657534,0.0,0.0,0.4382565256839024,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.01972623],[35.92267313],[0.00033904],[-0.00080307],[6.70251787e-06],[-0.00017345],[0.00079605],[-0.07057567],[-0.08043774],[0.98082131],[nan],[nan],[nan],[1.81460462],[0.31047107],[-0.00699614],[-5.9297133e-05],[1.11314494e-05],[-0.91928875],[0.49766031],[-0.50005523],[-0.50219395],[-0.50008022],[-2.88115421e-06],[-3.99069558e-05],[0.00079342],[-2.88115421e-06],[-3.99069558e-05],[0.00079342],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.085,0.0,0.0,0.005960467215048675,0.0,0.0,0.6584142923651234,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.81460433],[0.31047112],[-0.01159258],[-0.00013334],[7.30378831e-05],[-0.78925977],[0.49766125],[-0.50005628],[-0.502193],[-0.50007918],[-2.88115421e-06],[-3.99069558e-05],[0.00079342],[-2.88115421e-06],[-3.99069558e-05],[0.00079342],[3500.],[3500.],[3500.],0.0,0.0,0.0
