Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.01391849],[nan],[nan],[nan],[-7.85401188e-05],[1.61265424e-05],[-0.00082755],[-0.01210597],[0.04542564],[0.94329642],[32.99030184],[-106.97498173],[0.99261789],[0.93550289],[3.26496601],[-0.01229833],[0.],[0.],[0.],[0.50000025],[-0.49999975],[-0.50000014],[-0.49999986],[-7.52078119e-05],[1.54423241e-05],[-0.00079243],[-7.52078119e-05],[1.54423241e-05],[-0.00079243],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.93550289],[3.26496601],[-0.01229833],[0.],[0.],[0.],[0.49999918],[-0.49999884],[-0.50000102],[-0.50000096],[-7.52078119e-05],[1.54423241e-05],[-0.00079243],[-7.52078119e-05],[1.54423241e-05],[-0.00079243],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.18689893],[9.75511316],[-0.00242557],[-0.00134279],[7.19191267e-05],[-0.00069135],[0.00040046],[-0.07337948],[-0.04866742],[1.03636574],[nan],[nan],[nan],[0.93550282],[3.26496596],[-0.09992139],[-2.50200563e-05],[-1.34325204e-05],[-0.08749284],[0.49999844],[-0.49999814],[-0.5000008],[-0.50000262],[4.79151065e-05],[-0.00057399],[0.00020333],[4.79151065e-05],[-0.00057399],[0.00020333],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.9355027],[3.26496589],[-0.10035885],[-3.75320151e-05],[-2.01498422e-05],[-0.08775053],[0.49999804],[-0.49999905],[-0.50000132],[-0.50000159],[4.79151065e-05],[-0.00057399],[0.00020333],[4.79151065e-05],[-0.00057399],[0.00020333],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.16149849],[9.75638358],[-0.00038876],[0.00228076],[0.00094952],[0.00020388],[0.00029105],[0.00711771],[0.01126496],[1.09583228],[nan],[nan],[nan],[0.93550251],[3.26496579],[-0.12160984],[-4.46752545e-05],[-1.73938787e-05],[-0.1475656],[0.49999766],[-0.49999913],[-0.50000217],[-0.50000104],[0.00079821],[7.34746802e-05],[0.00027728],[0.00079821],[7.34746802e-05],[0.00027728],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.93550229],[3.2649657],[-0.12234767],[-4.69292291e-05],[-5.93846995e-06],[-0.14781698],[0.4999991],[-0.49999839],[-0.50000273],[-0.49999979],[0.00079821],[7.34746802e-05],[0.00027728],[0.00079821],[7.34746802e-05],[0.00027728],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.93550205],[3.26496567],[-0.12308675],[-4.91832036e-05],[5.51693885e-06],[-0.14806835],[0.50000053],[-0.49999765],[-0.50000329],[-0.49999854],[0.00079821],[7.34746802e-05],[0.00027728],[0.00079821],[7.34746802e-05],[0.00027728],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.25849099],[9.75595243],[-0.0001451],[0.00105396],[-0.00156195],[-0.00034304],[-8.97572754e-05],[0.08335814],[-0.0424244],[0.99738027],[nan],[nan],[nan],[0.93550181],[3.26496577],[-0.01569781],[-5.00392932e-05],[1.08078438e-05],[0.52392492],[0.50000123],[-0.499997],[-0.50000495],[-0.49999683],[-0.00126682],[-0.00029223],[-4.51609906e-05],[-0.00126682],[-0.00029223],[-4.51609906e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.93550156],[3.26496583],[-0.01307818],[-5.08957149e-05],[1.61732575e-05],[0.52367145],[0.49999923],[-0.49999889],[-0.50000378],[-0.4999981],[-0.00126682],[-0.00029223],[-4.51609906e-05],[-0.00126682],[-0.00029223],[-4.51609906e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.93550131],[3.26496591],[-0.01045983],[-5.17521366e-05],[2.15386713e-05],[0.52341798],[0.49999722],[-0.50000078],[-0.50000262],[-0.49999938],[-0.00126682],[-0.00029223],[-4.51609906e-05],[-0.00126682],[-0.00029223],[-4.51609906e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
