Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.0802492],[nan],[nan],[nan],[0.00068121],[-0.00089555],[-0.00032758],[0.03213955],[-0.05884672],[0.96772025],[32.9902436],[-106.97498695],[3.38856034],[0.63551232],[-0.70972265],[0.08544873],[0.],[0.],[0.],[0.49999962],[-0.50000038],[-0.49999989],[-0.50000011],[0.00065231],[-0.00085756],[-0.00031368],[0.00065231],[-0.00085756],[-0.00031368],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.63551232],[-0.70972265],[0.08544873],[0.],[0.],[0.],[0.49999897],[-0.50000024],[-0.50000217],[-0.49999862],[0.00065231],[-0.00085756],[-0.00031368],[0.00065231],[-0.00085756],[-0.00031368],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.04599131],[9.75565304],[-0.00092589],[-0.00106783],[0.00040907],[0.00012957],[-0.00148176],[0.06432873],[-0.03709369],[0.89088577],[nan],[nan],[nan],[0.63551229],[-0.70972268],[0.06564659],[-9.59097994e-06],[-9.79437065e-06],[-0.02016515],[0.49999797],[-0.5000003],[-0.50000477],[-0.49999697],[0.0004491],[-3.40784076e-05],[-0.00128862],[0.0004491],[-3.40784076e-05],[-0.00128862],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.63551224],[-0.70972273],[0.06554577],[-1.43872014e-05],[-1.46923027e-05],[-0.02042012],[0.49999687],[-0.49999817],[-0.50000698],[-0.49999797],[0.0004491],[-3.40784076e-05],[-0.00128862],[0.0004491],[-3.40784076e-05],[-0.00128862],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.04922307],[9.75712806],[-0.00105125],[0.00079657],[0.00018129],[-0.00156378],[-0.0003605],[-0.00353687],[0.0764004],[1.01833523],[nan],[nan],[nan],[0.63551217],[-0.70972281],[0.0261284],[-1.9810424e-05],[-1.47440959e-05],[-0.13318412],[0.49999576],[-0.49999525],[-0.5000104],[-0.49999858],[0.00022603],[-0.00130579],[-0.00051786],[0.00022603],[-0.00130579],[-0.00051786],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.63551207],[-0.70972289],[0.02546248],[-2.58528385e-05],[-1.03175458e-05],[-0.13343179],[0.49999377],[-0.49999595],[-0.50001297],[-0.49999732],[0.00022603],[-0.00130579],[-0.00051786],[0.00022603],[-0.00130579],[-0.00051786],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.63551194],[-0.70972294],[0.02479532],[-3.18952531e-05],[-5.89099572e-06],[-0.13367945],[0.49999177],[-0.49999665],[-0.50001553],[-0.49999605],[0.00022603],[-0.00130579],[-0.00051786],[0.00022603],[-0.00130579],[-0.00051786],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.00396548],[9.75722169],[-5.25103441e-05],[0.00031043],[-0.00018963],[0.00119114],[-0.00085543],[-0.0091649],[0.02033162],[0.99740066],[nan],[nan],[nan],[0.63551179],[-0.70972298],[0.01618168],[-3.33769315e-05],[-2.84189189e-06],[-0.18332272],[0.49998969],[-0.49999718],[-0.50001839],[-0.49999474],[-0.00013653],[0.00087813],[-0.00081214],[-0.00013653],[0.00087813],[-0.00081214],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.63551163],[-0.70972299],[0.01526507],[-3.49121542e-05],[2.21641588e-07],[-0.18356987],[0.4999896],[-0.49999524],[-0.50001814],[-0.49999702],[-0.00013653],[0.00087813],[-0.00081214],[-0.00013653],[0.00087813],[-0.00081214],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.63551145],[-0.70972299],[0.01434722],[-3.64473769e-05],[3.28517507e-06],[-0.18381702],[0.49998951],[-0.49999329],[-0.50001789],[-0.49999931],[-0.00013653],[0.00087813],[-0.00081214],[-0.00013653],[0.00087813],[-0.00081214],[3500.],[3500.],[3500.],0.0,0.0,0.0
