Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.02228941],[nan],[nan],[nan],[0.00011717],[-0.00016207],[-0.00044714],[0.07161499],[-0.00594258],[0.93230226],[32.99027212],[-106.97495908],[-3.16262883],[2.23848719],[1.23651692],[-0.0272787],[0.],[0.],[0.],[0.49999966],[-0.50000034],[-0.50000028],[-0.49999972],[0.0001122],[-0.00015519],[-0.00042817],[0.0001122],[-0.00015519],[-0.00042817],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.23848719],[1.23651692],[-0.0272787],[0.],[0.],[0.],[0.49999908],[-0.49999985],[-0.50000115],[-0.49999992],[0.0001122],[-0.00015519],[-0.00042817],[0.0001122],[-0.00015519],[-0.00042817],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.10573739],[9.75495041],[-0.00071906],[-2.33563203e-05],[-8.72877307e-05],[-0.00070095],[0.00041492],[0.01030398],[0.01465329],[1.01801739],[nan],[nan],[nan],[2.23848718],[1.23651693],[0.0394741],[-7.60622606e-06],[3.27233933e-08],[0.06574637],[0.49999844],[-0.4999993],[-0.50000226],[-0.5],[-5.42090033e-05],[-0.00061055],[0.0002754],[-5.42090033e-05],[-0.00061055],[0.0002754],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.23848714],[1.23651693],[0.03980283],[-1.14098681e-05],[4.91289438e-08],[0.06548787],[0.49999795],[-0.50000048],[-0.50000261],[-0.49999896],[-5.42090033e-05],[-0.00061055],[0.0002754],[-5.42090033e-05],[-0.00061055],[0.0002754],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.00891075],[9.756748],[0.00033192],[0.00108109],[-0.00119686],[-0.00067166],[0.00041718],[0.01159092],[0.03835932],[1.05589758],[nan],[nan],[nan],[2.23848708],[1.23651693],[0.02942618],[-1.24150983e-05],[3.07912786e-06],[0.03460093],[0.49999726],[-0.50000107],[-0.50000386],[-0.49999781],[-0.0010044],[-0.00066196],[0.00039259],[-0.0010044],[-0.00066196],[0.00039259],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.23848702],[1.23651694],[0.02959918],[-1.08792557e-05],[8.89210754e-06],[0.03435136],[0.49999566],[-0.50000365],[-0.50000294],[-0.49999775],[-0.0010044],[-0.00066196],[0.00039259],[-0.0010044],[-0.00066196],[0.00039259],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.23848697],[1.23651699],[0.02977094],[-9.343413e-06],[1.47050872e-05],[0.03410178],[0.49999407],[-0.50000622],[-0.50000202],[-0.49999769],[-0.0010044],[-0.00066196],[0.00039259],[-0.0010044],[-0.00066196],[0.00039259],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.10115214],[9.7568807],[-0.00026567],[0.00018554],[-0.00039983],[-0.00079419],[0.00106283],[-0.00984033],[-0.0290501],[1.03292563],[nan],[nan],[nan],[2.23848691],[1.23651707],[0.05008165],[-1.05717151e-05],[1.65769432e-05],[0.15906584],[0.49999269],[-0.50000921],[-0.5000002],[-0.4999979],[-0.00047526],[-0.00077701],[0.00097914],[-0.00047526],[-0.00077701],[0.00097914],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.23848686],[1.23651715],[0.05087698],[-1.17654573e-05],[1.84930924e-05],[0.158817],[0.49999235],[-0.500012],[-0.49999935],[-0.4999963],[-0.00047526],[-0.00077701],[0.00097914],[-0.00047526],[-0.00077701],[0.00097914],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.2384868],[1.23651725],[0.05167106],[-1.29591996e-05],[2.04092416e-05],[0.15856815],[0.49999201],[-0.50001479],[-0.49999851],[-0.4999947],[-0.00047526],[-0.00077701],[0.00097914],[-0.00047526],[-0.00077701],[0.00097914],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.13288779],[9.75716188],[-0.00012749],[-0.00047494],[-0.00078703],[0.00071214],[6.35175875e-05],[-0.04844025],[-0.02651807],[0.98713859],[nan],[nan],[nan],[2.23848674],[1.23651729],[0.00373526],[-1.26758747e-05],[1.95142559e-05],[-0.27398559],[0.49999243],[-0.50001832],[-0.4999952],[-0.49999404],[-0.00074793],[0.0005261],[0.00017811],[-0.00074793],[0.0005261],[0.00017811],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.23848668],[1.23651739],[0.00236533],[-1.24154048e-05],[1.86484192e-05],[-0.27423304],[0.49999238],[-0.50001882],[-0.49999339],[-0.49999541],[-0.00074793],[0.0005261],[0.00017811],[-0.00074793],[0.0005261],[0.00017811],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.06,0.0,0.0,3.66493339001693e-06,0.0,0.0,0.004237256157134099,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.23848661],[1.23651748],[0.00099417],[-1.2154935e-05],[1.77825824e-05],[-0.27448049],[0.49999232],[-0.50001932],[-0.49999157],[-0.49999678],[-0.00074793],[0.0005261],[0.00017811],[-0.00074793],[0.0005261],[0.00017811],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.065,0.0,0.0,0.00010953431198894576,0.0,0.0,0.0457737416478075,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.05131621],[12.80539212],[-0.00135115],[0.00082335],[5.81466374e-05],[0.00109952],[-0.00143016],[0.02710582],[-0.00132164],[0.9767652],[nan],[nan],[nan],[2.23848665],[1.23651749],[0.01310949],[-1.12305669e-05],[1.69935431e-05],[-0.120752],[0.49984228],[-0.49997803],[-0.50022333],[-0.49995628],[-4.27296574e-05],[0.00102772],[-0.00122922],[-4.27296574e-05],[0.00102772],[-0.00122922],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.07,0.0,0.0,0.0005352417218759621,0.0,0.0,0.13194948838401183,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.23848659],[1.23651758],[0.01250573],[-1.85323166e-05],[2.44242782e-05],[-0.10582902],[0.49984197],[-0.49997526],[-0.50022353],[-0.49995916],[-4.27296574e-05],[0.00102772],[-0.00122922],[-4.27296574e-05],[0.00102772],[-0.00122922],[3500.],[3500.],[3500.],0.0,0.0,0.0
