Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.13864722],[nan],[nan],[nan],[0.00055064],[-0.00015362],[0.00033957],[-0.04608202],[0.0571082],[1.05569875],[32.9902864],[-106.9750088],[2.23372486],[-0.6213004],[2.21101265],[0.14185236],[0.],[0.],[0.],[0.50000039],[-0.49999961],[-0.50000004],[-0.49999996],[0.00052728],[-0.0001471],[0.00032516],[0.00052728],[-0.0001471],[0.00032516],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.6213004],[2.21101265],[0.14185236],[0.],[0.],[0.],[0.50000128],[-0.49999954],[-0.50000048],[-0.49999871],[0.00052728],[-0.0001471],[0.00032516],[0.00052728],[-0.0001471],[0.00032516],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.03043811],[9.75710837],[8.62754785e-05],[0.0011032],[5.83520683e-05],[0.00037996],[0.00029216],[0.00758455],[0.06813058],[0.92920917],[nan],[nan],[nan],[-0.6213004],[2.21101267],[0.08593908],[1.19452189e-06],[1.1086705e-05],[-0.05599632],[0.50000211],[-0.49999911],[-0.50000172],[-0.49999706],[0.000136],[0.00029272],[0.00029764],[0.000136],[0.00029272],[0.00029764],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.62130039],[2.21101272],[0.0856591],[1.79183772e-06],[1.66308541e-05],[-0.05624403],[0.50000302],[-0.49999895],[-0.50000115],[-0.49999689],[0.000136],[0.00029272],[0.00029764],[0.000136],[0.00029272],[0.00029764],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.03738111],[9.75698973],[0.0002742],[-0.00170595],[0.00194466],[-0.00014857],[-0.00082174],[0.05214886],[-0.00172504],[0.91342278],[nan],[nan],[nan],[-0.62130038],[2.21101279],[0.04328806],[2.90741458e-06],[1.48502781e-05],[-0.17694509],[0.50000329],[-0.49999906],[-0.50000154],[-0.49999611],[0.00163916],[-7.38514802e-05],[-0.00063243],[0.00163916],[-7.38514802e-05],[-0.00063243],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.62130037],[2.21101286],[0.04240334],[4.5338724e-06],[6.34544099e-06],[-0.17719339],[0.50000446],[-0.49999631],[-0.50000447],[-0.49999476],[0.00163916],[-7.38514802e-05],[-0.00063243],[0.00163916],[-7.38514802e-05],[-0.00063243],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.62130035],[2.2110129],[0.04151737],[6.16033022e-06],[-2.15939613e-06],[-0.17744168],[0.50000562],[-0.49999357],[-0.5000074],[-0.49999341],[0.00163916],[-7.38514802e-05],[-0.00063243],[0.00163916],[-7.38514802e-05],[-0.00063243],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.01528656],[9.75566757],[-0.00112629],[0.00197191],[0.00018116],[-0.00074884],[0.00138151],[-0.02762102],[-0.04821035],[1.02855698],[nan],[nan],[nan],[-0.62130033],[2.21101291],[0.02481548],[2.4300837e-07],[7.95475252e-06],[-0.27601745],[0.50000761],[-0.49999115],[-0.5000084],[-0.49999284],[0.00036437],[-0.00066405],[0.0011283],[0.00036437],[-0.00066405],[0.0011283],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.62130033],[2.21101295],[0.02343539],[-5.59274667e-06],[1.78527367e-05],[-0.27627233],[0.50000864],[-0.49999294],[-0.50000828],[-0.49999014],[0.00036437],[-0.00066405],[0.0011283],[0.00036437],[-0.00066405],[0.0011283],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.62130036],[2.21101303],[0.02205403],[-1.14285017e-05],[2.77507209e-05],[-0.2765272],[0.50000968],[-0.49999472],[-0.50000815],[-0.49998744],[0.00036437],[-0.00066405],[0.0011283],[0.00036437],[-0.00066405],[0.0011283],[3500.],[3500.],[3500.],0.0,0.0,0.0
