Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.13412765],[nan],[nan],[nan],[-0.00098016],[0.00040407],[0.00026766],[-0.00524597],[0.07987249],[1.0131778],[32.9902819],[-106.97503031],[-2.57871302],[-1.85858982],[1.90387156],[0.12966457],[0.],[0.],[0.],[0.50000034],[-0.49999966],[-0.5000003],[-0.4999997],[-0.00093858],[0.00038692],[0.00025631],[-0.00093858],[0.00038692],[0.00025631],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.85858982],[1.90387156],[0.12966457],[0.],[0.],[0.],[0.49999997],[-0.50000067],[-0.49999832],[-0.50000104],[-0.00093858],[0.00038692],[0.00025631],[-0.00093858],[0.00038692],[0.00025631],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.11408621],[9.75515389],[0.00118571],[0.00124018],[-0.00089467],[5.16999326e-05],[-0.00075742],[-0.05918343],[0.05033534],[0.98955637],[nan],[nan],[nan],[-1.85858979],[1.90387159],[0.12184601],[1.21306484e-05],[1.20171634e-05],[-0.00827471],[0.49999988],[-0.50000143],[-0.49999628],[-0.50000241],[-0.00090266],[0.00010647],[-0.00059033],[-0.00090266],[0.00010647],[-0.00059033],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.85858973],[1.90387165],[0.12180464],[1.81968774e-05],[1.80266414e-05],[-0.0085322],[0.49999815],[-0.50000169],[-0.49999576],[-0.50000441],[-0.00090266],[0.00010647],[-0.00059033],[-0.00090266],[0.00010647],[-0.00059033],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.05737188],[9.75756396],[0.00132722],[-0.00042607],[-0.00031689],[-0.00042805],[-0.00108502],[0.05821732],[0.06796391],[0.97365471],[nan],[nan],[nan],[-1.85858964],[1.90387172],[0.06034317],[2.44795688e-05],[1.9652818e-05],[-0.18455242],[0.49999562],[-0.5000015],[-0.49999756],[-0.50000532],[-0.00041615],[-0.00033798],[-0.00100168],[-0.00041615],[-0.00033798],[-0.00100168],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.85858951],[1.90387182],[0.05942041],[3.09520976e-05],[1.72921229e-05],[-0.18479794],[0.49999342],[-0.50000119],[-0.49999871],[-0.50000667],[-0.00041615],[-0.00033798],[-0.00100168],[-0.00041615],[-0.00033798],[-0.00100168],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.85858936],[1.9038719],[0.05849642],[3.74246265e-05],[1.49314277e-05],[-0.18504345],[0.49999123],[-0.50000089],[-0.49999987],[-0.50000802],[-0.00041615],[-0.00033798],[-0.00100168],[-0.00041615],[-0.00033798],[-0.00100168],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.11984414],[9.75641611],[0.00076309],[-0.00083708],[0.00120164],[0.00133383],[5.6854042e-05],[0.0595431],[-0.0169955],[0.96072472],[nan],[nan],[nan],[-1.85858918],[1.90387199],[0.07518357],[4.01831767e-05],[1.08822356e-05],[-0.07579737],[0.49998853],[-0.50000053],[-0.50000208],[-0.50000886],[0.00100042],[0.00112581],[-7.40729581e-05],[0.00100042],[0.00112581],[-7.40729581e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.85858898],[1.90387204],[0.07480458],[4.29927254e-05],[6.8547231e-06],[-0.0760485],[0.4999911],[-0.49999778],[-0.50000202],[-0.50000911],[0.00100042],[0.00112581],[-7.40729581e-05],[0.00100042],[0.00112581],[-7.40729581e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.85858876],[1.90387208],[0.07442434],[4.58022741e-05],[2.82721058e-06],[-0.07629964],[0.49999366],[-0.49999503],[-0.50000196],[-0.50000936],[0.00100042],[0.00112581],[-7.40729581e-05],[0.00100042],[0.00112581],[-7.40729581e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
