Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.11647551],[nan],[nan],[nan],[-0.00072805],[0.00137267],[0.0004001],[-0.04058217],[0.06936717],[0.98885884],[32.99029696],[-106.97503265],[-1.85507397],[-1.99277659],[2.9317443],[0.11321303],[0.],[0.],[0.],[0.50000045],[-0.49999955],[-0.50000012],[-0.49999988],[-0.00069716],[0.00131443],[0.00038313],[-0.00069716],[0.00131443],[0.00038313],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.99277659],[2.9317443],[0.11321303],[0.],[0.],[0.],[0.5000017],[-0.49999926],[-0.49999712],[-0.50000192],[-0.00069716],[0.00131443],[0.00038313],[-0.00069716],[0.00131443],[0.00038313],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.06845729],[9.75674242],[0.00037664],[-0.00054627],[-0.00038286],[-0.00051805],[0.00037071],[-0.07853454],[0.04061964],[1.04447376],[nan],[nan],[nan],[-1.99277658],[2.93174427],[0.02204209],[4.16558578e-06],[-6.79916464e-06],[-0.0909984],[0.5000033],[-0.49999877],[-0.49999381],[-0.50000412],[-0.00043575],[-0.00021554],[0.00037191],[-0.00043575],[-0.00021554],[0.00037191],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.99277656],[2.93174424],[0.0215871],[6.24863449e-06],[-1.01993134e-05],[-0.09124795],[0.50000295],[-0.50000005],[-0.49999307],[-0.50000393],[-0.00043575],[-0.00021554],[0.00037191],[-0.00043575],[-0.00021554],[0.00037191],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.07438915],[9.75533092],[0.00032979],[-0.00198367],[1.01228637e-05],[0.00103791],[-0.00116629],[0.07903038],[-0.03964288],[1.05959514],[nan],[nan],[nan],[-1.99277653],[2.93174418],[-0.01161965],[8.27811177e-06],[-1.72938564e-05],[-0.18522687],[0.50000209],[-0.50000165],[-0.49999287],[-0.50000338],[-6.51296242e-05],[0.00082619],[-0.00090625],[-6.51296242e-05],[0.00082619],[-0.00090625],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.99277649],[2.93174409],[-0.01254578],[1.03021273e-05],[-2.77896661e-05],[-0.18548341],[0.50000191],[-0.49999957],[-0.49999289],[-0.50000563],[-6.51296242e-05],[0.00082619],[-0.00090625],[-6.51296242e-05],[0.00082619],[-0.00090625],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.99277644],[2.93174395],[-0.0134732],[1.23261429e-05],[-3.82854757e-05],[-0.18573995],[0.50000173],[-0.49999749],[-0.49999291],[-0.50000788],[-6.51296242e-05],[0.00082619],[-0.00090625],[-6.51296242e-05],[0.00082619],[-0.00090625],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.04917885],[9.75620643],[-0.00051171],[-0.00105799],[-0.00077174],[0.00112405],[0.00062682],[0.00567229],[-0.06376166],[0.97055535],[nan],[nan],[nan],[-1.99277638],[2.93174376],[-0.0242377],[9.42473319e-06],[-4.46762232e-05],[-0.24714199],[0.50000189],[-0.49999595],[-0.49999153],[-0.50001062],[-0.00068237],[0.00108716],[0.00043466],[-0.00068237],[0.00108716],[0.00043466],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.99277634],[2.93174354],[-0.02547341],[6.58020665e-06],[-5.11141362e-05],[-0.24739422],[0.50000294],[-0.49999599],[-0.49998877],[-0.50001229],[-0.00068237],[0.00108716],[0.00043466],[-0.00068237],[0.00108716],[0.00043466],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.9927763],[2.93174328],[-0.02671038],[3.73568011e-06],[-5.75520493e-05],[-0.24764645],[0.50000399],[-0.49999603],[-0.49998602],[-0.50001396],[-0.00068237],[0.00108716],[0.00043466],[-0.00068237],[0.00108716],[0.00043466],[3500.],[3500.],[3500.],0.0,0.0,0.0
